"買賣合約
的日期
(日-月-年)",大廈名稱,樓層,單位,成交金額
05-03-2018,翠鳴臺,2,B,"$2,895,000"
05-03-2018,翠鳴臺,5,G,"$3,146,000"
05-03-2018,翠鳴臺,11,G,"$3,203,000"
05-03-2018,翠鳴臺,16,J,"$2,091,000"
05-03-2018,翠鳴臺,20,B,"$3,301,000"
06-03-2018,翠鳴臺,20,G,"$3,291,000"
07-03-2018,翠鳴臺,21,H,"$3,411,000"
07-03-2018,翠鳴臺,22,A,"$4,681,000"
06-03-2018,翠鳴臺,22,G,"$3,311,000"
07-03-2018,翠鳴臺,26,A,"$4,738,000"
06-03-2018,翠鳴臺,26,G,"$3,351,000"
06-03-2018,翠鳴臺,27,A,"$4,752,000"
06-03-2018,翠鳴臺,27,D,"$3,730,000"
06-03-2018,翠鳴臺,27,J,"$2,161,000"
06-03-2018,翠鳴臺,28,A,"$4,780,000"
05-03-2018,翠鳴臺,28,B,"$3,391,000"
02-03-2018,翠鳴臺,28,J,"$2,174,000"
05-03-2018,翠鳴臺,29,A,"$4,781,000"
08-03-2018,翠鳴臺,7,F,"$3,306,000"
06-03-2018,翠鳴臺,8,B,"$3,162,000"
07-03-2018,翠鳴臺,8,E,"$3,378,000"
08-03-2018,翠鳴臺,8,F,"$3,326,000"
07-03-2018,翠鳴臺,13,A,"$4,512,000"
07-03-2018,翠鳴臺,16,G,"$3,252,000"
07-03-2018,翠鳴臺,18,A,"$4,594,000"
06-03-2018,翠鳴臺,19,A,"$4,594,000"
06-03-2018,翠鳴臺,21,A,"$4,667,000"
06-03-2018,翠鳴臺,21,G,"$3,301,000"
06-03-2018,翠鳴臺,22,F,"$3,679,000"
08-03-2018,翠鳴臺,23,A,"$4,695,000"
06-03-2018,翠鳴臺,23,G,"$3,321,000"
08-03-2018,翠鳴臺,23,K,"$2,076,000"
05-03-2018,翠鳴臺,24,A,"$4,709,000"
07-03-2018,翠鳴臺,25,A,"$4,724,000"
07-03-2018,翠鳴臺,27,B,"$3,371,000"
05-03-2018,翠鳴臺,27,G,"$3,361,000"
06-03-2018,翠鳴臺,28,F,"$3,757,000"
08-03-2018,翠鳴臺,28,G,"$3,381,000"
07-03-2018,翠鳴臺,29,B,"$3,391,000"
07-03-2018,翠鳴臺,29,F,"$3,757,000"
08-03-2018,翠鳴臺,30,A,"$4,747,000"
07-03-2018,翠鳴臺,5,D,"$3,178,000"
09-03-2018,翠鳴臺,6,A,"$4,418,000"
07-03-2018,翠鳴臺,6,G,"$3,156,000"
08-03-2018,翠鳴臺,7,A,"$4,431,000"
08-03-2018,翠鳴臺,8,A,"$4,458,000"
08-03-2018,翠鳴臺,8,G,"$3,184,000"
09-03-2018,翠鳴臺,8,J,"$2,047,000"
08-03-2018,翠鳴臺,9,A,"$4,458,000"
07-03-2018,翠鳴臺,10,A,"$4,471,000"
06-03-2018,翠鳴臺,10,J,"$2,053,000"
07-03-2018,翠鳴臺,11,A,"$4,485,000"
07-03-2018,翠鳴臺,12,A,"$4,498,000"
08-03-2018,翠鳴臺,14,A,"$4,525,000"
09-03-2018,翠鳴臺,16,A,"$4,552,000"
09-03-2018,翠鳴臺,17,A,"$4,566,000"
07-03-2018,翠鳴臺,18,F,"$3,646,000"
08-03-2018,翠鳴臺,18,G,"$3,281,000"
07-03-2018,翠鳴臺,18,H,"$3,391,000"
08-03-2018,翠鳴臺,19,G,"$3,281,000"
07-03-2018,翠鳴臺,20,A,"$4,653,000"
09-03-2018,翠鳴臺,20,F,"$3,657,000"
08-03-2018,翠鳴臺,25,F,"$3,712,000"
07-03-2018,翠鳴臺,25,G,"$3,341,000"
08-03-2018,翠鳴臺,26,B,"$3,361,000"
09-03-2018,翠鳴臺,27,F,"$3,734,000"
09-03-2018,翠鳴臺,28,E,"$3,815,000"
08-03-2018,翠鳴臺,29,G,"$3,381,000"
09-03-2018,翠鳴臺,2,A,"$4,081,000"
08-03-2018,翠鳴臺,3,A,"$4,378,000"
08-03-2018,翠鳴臺,4,A,"$4,391,000"
08-03-2018,翠鳴臺,5,A,"$4,404,000"
12-03-2018,翠鳴臺,7,G,"$3,165,000"
12-03-2018,翠鳴臺,8,D,"$3,323,000"
08-03-2018,翠鳴臺,9,G,"$3,184,000"
09-03-2018,翠鳴臺,10,G,"$3,194,000"
09-03-2018,翠鳴臺,11,F,"$3,559,000"
08-03-2018,翠鳴臺,12,F,"$3,570,000"
09-03-2018,翠鳴臺,12,G,"$3,213,000"
08-03-2018,翠鳴臺,13,F,"$3,581,000"
09-03-2018,翠鳴臺,13,G,"$3,223,000"
09-03-2018,翠鳴臺,14,F,"$3,591,000"
09-03-2018,翠鳴臺,14,G,"$3,232,000"
12-03-2018,翠鳴臺,15,A,"$4,539,000"
09-03-2018,翠鳴臺,15,F,"$3,602,000"
08-03-2018,翠鳴臺,15,G,"$3,242,000"
09-03-2018,翠鳴臺,16,F,"$3,613,000"
12-03-2018,翠鳴臺,17,F,"$3,624,000"
07-03-2018,翠鳴臺,17,G,"$3,262,000"
12-03-2018,翠鳴臺,18,B,"$3,259,000"
12-03-2018,翠鳴臺,19,F,"$3,646,000"
09-03-2018,翠鳴臺,20,H,"$3,401,000"
09-03-2018,翠鳴臺,21,B,"$3,311,000"
08-03-2018,翠鳴臺,21,F,"$3,668,000"
09-03-2018,翠鳴臺,22,B,"$3,321,000"
08-03-2018,翠鳴臺,22,H,"$3,422,000"
12-03-2018,翠鳴臺,23,B,"$3,331,000"
08-03-2018,翠鳴臺,23,F,"$3,690,000"
09-03-2018,翠鳴臺,23,H,"$3,432,000"
12-03-2018,翠鳴臺,23,J,"$2,135,000"
12-03-2018,翠鳴臺,24,B,"$3,341,000"
12-03-2018,翠鳴臺,24,F,"$3,701,000"
09-03-2018,翠鳴臺,24,G,"$3,331,000"
09-03-2018,翠鳴臺,25,B,"$3,351,000"
08-03-2018,翠鳴臺,25,H,"$3,453,000"
09-03-2018,翠鳴臺,26,F,"$3,723,000"
08-03-2018,翠鳴臺,26,J,"$2,154,000"
09-03-2018,翠鳴臺,27,E,"$3,792,000"
12-03-2018,翠鳴臺,28,D,"$3,753,000"
07-03-2018,翠鳴臺,28,K,"$2,113,000"
09-03-2018,翠鳴臺,29,E,"$3,815,000"
09-03-2018,翠鳴臺,30,B,"$3,368,000"
12-03-2018,翠鳴臺,30,F,"$3,730,000"
08-03-2018,翠鳴臺,30,G,"$3,357,000"
09-03-2018,翠鳴臺,2,F,"$3,083,000"
12-03-2018,翠鳴臺,2,G,"$3,071,000"
09-03-2018,翠鳴臺,3,F,"$3,162,000"
12-03-2018,翠鳴臺,3,G,"$3,127,000"
09-03-2018,翠鳴臺,4,F,"$3,172,000"
13-03-2018,翠鳴臺,4,G,"$3,137,000"
13-03-2018,翠鳴臺,5,E,"$3,231,000"
12-03-2018,翠鳴臺,5,F,"$3,181,000"
13-03-2018,翠鳴臺,6,F,"$3,296,000"
13-03-2018,翠鳴臺,6,H,"$3,261,000"
09-03-2018,翠鳴臺,7,E,"$3,357,000"
12-03-2018,翠鳴臺,7,H,"$3,271,000"
09-03-2018,翠鳴臺,8,C,"$3,296,000"
09-03-2018,翠鳴臺,8,H,"$3,291,000"
13-03-2018,翠鳴臺,9,B,"$3,162,000"
09-03-2018,翠鳴臺,9,F,"$3,538,000"
12-03-2018,翠鳴臺,9,H,"$3,291,000"
12-03-2018,翠鳴臺,10,B,"$3,172,000"
09-03-2018,翠鳴臺,10,E,"$3,604,000"
09-03-2018,翠鳴臺,10,F,"$3,549,000"
12-03-2018,翠鳴臺,10,H,"$3,301,000"
12-03-2018,翠鳴臺,10,K,"$1,996,000"
06-03-2018,翠鳴臺,11,B,"$3,181,000"
12-03-2018,翠鳴臺,11,H,"$3,311,000"
09-03-2018,翠鳴臺,12,B,"$3,191,000"
12-03-2018,翠鳴臺,12,E,"$3,626,000"
09-03-2018,翠鳴臺,12,H,"$3,321,000"
09-03-2018,翠鳴臺,13,B,"$3,200,000"
08-03-2018,翠鳴臺,13,E,"$3,637,000"
09-03-2018,翠鳴臺,13,H,"$3,331,000"
12-03-2018,翠鳴臺,14,B,"$3,210,000"
12-03-2018,翠鳴臺,14,E,"$3,648,000"
09-03-2018,翠鳴臺,14,H,"$3,341,000"
09-03-2018,翠鳴臺,15,B,"$3,220,000"
09-03-2018,翠鳴臺,15,E,"$3,659,000"
12-03-2018,翠鳴臺,15,H,"$3,351,000"
12-03-2018,翠鳴臺,16,B,"$3,229,000"
09-03-2018,翠鳴臺,16,D,"$3,609,000"
12-03-2018,翠鳴臺,16,E,"$3,670,000"
12-03-2018,翠鳴臺,16,H,"$3,361,000"
12-03-2018,翠鳴臺,17,B,"$3,239,000"
12-03-2018,翠鳴臺,17,D,"$3,620,000"
12-03-2018,翠鳴臺,17,E,"$3,681,000"
12-03-2018,翠鳴臺,17,H,"$3,371,000"
13-03-2018,翠鳴臺,18,D,"$3,642,000"
12-03-2018,翠鳴臺,18,E,"$3,703,000"
09-03-2018,翠鳴臺,19,B,"$3,259,000"
12-03-2018,翠鳴臺,19,D,"$3,642,000"
12-03-2018,翠鳴臺,19,E,"$3,703,000"
12-03-2018,翠鳴臺,19,H,"$3,391,000"
09-03-2018,翠鳴臺,20,D,"$3,653,000"
09-03-2018,翠鳴臺,20,E,"$3,714,000"
09-03-2018,翠鳴臺,21,D,"$3,664,000"
12-03-2018,翠鳴臺,21,E,"$3,725,000"
12-03-2018,翠鳴臺,22,D,"$3,675,000"
13-03-2018,翠鳴臺,22,E,"$3,736,000"
